Name,File Name,Puzzle Type,Score,Solved?
.git,COMMIT_EDITMSG,Invalid,,Ungradeable
.git,config,Invalid,,Ungradeable
.git,description,Invalid,,Ungradeable
.git,FETCH_HEAD,Invalid,,Ungradeable
.git,HEAD,Invalid,,Ungradeable
.git/hooks,applypatch-msg.sample,Invalid,,Ungradeable
.git/hooks,commit-msg.sample,Invalid,,Ungradeable
.git/hooks,fsmonitor-watchman.sample,Invalid,,Ungradeable
.git/hooks,post-update.sample,Invalid,,Ungradeable
.git/hooks,pre-applypatch.sample,Invalid,,Ungradeable
.git/hooks,pre-commit.sample,Invalid,,Ungradeable
.git/hooks,pre-merge-commit.sample,Invalid,,Ungradeable
.git/hooks,pre-push.sample,Invalid,,Ungradeable
.git/hooks,pre-rebase.sample,Invalid,,Ungradeable
.git/hooks,pre-receive.sample,Invalid,,Ungradeable
.git/hooks,prepare-commit-msg.sample,Invalid,,Ungradeable
.git/hooks,push-to-checkout.sample,Invalid,,Ungradeable
.git/hooks,update.sample,Invalid,,Ungradeable
.git,index,Invalid,,Ungradeable
.git/info,exclude,Invalid,,Ungradeable
.git/logs,HEAD,Invalid,,Ungradeable
.git/logs/refs/heads,batch-grader,Invalid,,Ungradeable
.git/logs/refs/heads,dev,Invalid,,Ungradeable
.git/logs/refs/heads,dev-my-self,Invalid,,Ungradeable
.git/logs/refs/heads,master,Invalid,,Ungradeable
.git/logs/refs/heads,OLD-Kevin,Invalid,,Ungradeable
.git/logs/refs/heads/pr,315,Invalid,,Ungradeable
.git/logs/refs/heads/pr,318,Invalid,,Ungradeable
.git/logs/refs/heads/pr,321,Invalid,,Ungradeable
.git/logs/refs/heads,test,Invalid,,Ungradeable
.git/logs/refs/heads,ui-problem-309,Invalid,,Ungradeable
.git/logs/refs/heads,ui-problem-for-saving-function,Invalid,,Ungradeable
.git/logs/refs/heads,ui-saving-function,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,222-bug-selecting-a-rule-overlaps-other-rule-tabs,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,264-enhancement-allow-user-to-use-ctrl+shift+z-or-ctrl+y-for-redo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,apply-button-grey-out-fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,cannotreachpathing,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,dev,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,fix_no_number_contradiction,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,general_algorithm,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,HEAD,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,issue138-stt-save-bugs,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,master,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,mustlightfix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,native-binary-windows,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,new_puzzle-skyscrapers,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-Jacob,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-JavaFxPort,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-Kevin,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-main,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-ManualPuzzleCreation,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-Mariano,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-PuzzleGenerator,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-RippleEffect,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-Sissi,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-Skyscrapers,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,OLD-TreeTent,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,puzzle-editor,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,scroll_speed_fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,shortcuts_issue38_macOS-commands,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,UI-101-issue,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,ui-103-menu-improvements,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,ui-241,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,ui-ctrl-+Y-for-undo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,UI-Home-panel-preferences-option-does-not-pull-up-preferences-menu,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,UI-problem-for-allow-user-to-use-Ctrl+Shift+Z-or-Ctrl+Y-for-Redo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,ui-problem-for-the-treeview-zoomfit()-long-term-fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,ui-problem-with-the-fix-the-space-in-perference-menu-and-may-fixed-the-apply,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-19690ao,WhiteBottleNeck_fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-BoZhiDeng,dev,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-BoZhiDeng,HEAD,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-BoZhiDeng,master,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-BoZhiDeng,patch-1,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-BoZhiDeng,patch-2,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,222-bug-selecting-a-rule-overlaps-other-rule-tabs,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,264-enhancement-allow-user-to-use-ctrl+shift+z-or-ctrl+y-for-redo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,apply-button-grey-out-fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,dev,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,fix_no_number_contradiction,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,general_algorithm,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,HEAD,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,issue138-stt-save-bugs,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,master,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,native-binary-windows,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,new_puzzle-skyscrapers,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-Jacob,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-JavaFxPort,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-Kevin,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-main,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-ManualPuzzleCreation,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-Mariano,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-PuzzleGenerator,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-RippleEffect,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-Sissi,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-Skyscrapers,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,OLD-TreeTent,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,puzzle-editor,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,scroll_speed_fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,shortcuts_issue38_macOS-commands,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,UI-101-issue,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,ui-103-menu-improvements,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,ui-241,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,ui-ctrl-+Y-for-undo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,UI-Home-panel-preferences-option-does-not-pull-up-preferences-menu,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,UI-problem-for-allow-user-to-use-Ctrl+Shift+Z-or-Ctrl+Y-for-Redo,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,ui-problem-for-the-treeview-zoomfit()-long-term-fix,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,ui-problem-with-the-fix-the-space-in-perference-menu-and-may-fixed-the-apply,Invalid,,Ungradeable
.git/logs/refs/remotes/github-desktop-Tripplenut,WhiteBottleNeck_fix,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,batch-grader,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,dev,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,HEAD,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,master,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,ui-problem-309,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,ui-problem-for-saving-function,Invalid,,Ungradeable
.git/logs/refs/remotes/origin,ui-saving-function,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,222-bug-selecting-a-rule-overlaps-other-rule-tabs,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,264-enhancement-allow-user-to-use-ctrl+shift+z-or-ctrl+y-for-redo,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,apply-button-grey-out-fix,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,dev,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,fix_no_number_contradiction,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,general_algorithm,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,HEAD,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,issue138-stt-save-bugs,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,master,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,native-binary-windows,Invalid,,Ungradeable
.git/logs/refs/remotes/upstream,new_puzzle-skyscrapers,Invalid,,Ungradeable
